otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2022-08-05,1607.97,1742.07000000,1605.64000000,1736.81,1005846.4712,2022-08-05 23:59:59.999,1688798692.30733100,1404516.0,512103.18260000,860464588.37445400,0
2022-08-04,1618.16,1662.79000000,1580.39000000,1607.96,735552.181,2022-08-04 23:59:59.999,1190650505.14894600,1051634.0,364491.90280000,590046389.12159300,0
2022-08-03,1630.91,1685.03000000,1589.71000000,1618.16,777724.7413,2022-08-03 23:59:59.999,1276328467.02225400,1112406.0,389458.73700000,639185361.89003400,0
2022-08-02,1630.28,1678.00000000,1559.28000000,1630.91,1081964.5104,2022-08-02 23:59:59.999,1745550410.99894500,1458878.0,533311.86440000,859848287.88463400,0
2022-08-01,1678.12,1704.68000000,1606.12000000,1630.28,801566.5648,2022-08-01 23:59:59.999,1328136208.95945400,1029570.0,392775.08480000,650859068.17517400,0
2022-07-31,1697.0,1754.69000000,1666.00000000,1678.12,696326.8079,2022-07-31 23:59:59.999,1186613538.12166500,886708.0,355783.34790000,606331297.18940200,0
2022-07-30,1721.68,1744.85000000,1673.01000000,1697.0,735132.5286,2022-07-30 23:59:59.999,1257726968.66585400,1028313.0,359773.17580000,615777525.20892200,0
2022-07-29,1724.52,1765.99000000,1655.02000000,1721.68,1205266.5703,2022-07-29 23:59:59.999,2061258807.22678700,1439533.0,607250.68250000,1038603690.65321500,0
2022-07-28,1635.74,1784.79000000,1593.27000000,1724.52,1578145.07555,2022-07-28 23:59:59.999,2644280824.31078100,1719118.0,801669.85615000,1343890731.51436100,0
2022-07-27,1449.12,1644.44000000,1420.83000000,1635.74,1513426.0413,2022-07-27 23:59:59.999,2305847817.81058200,1547390.0,786958.50560000,1199839217.82687100,0
2022-07-26,1440.79,1454.11000000,1356.17000000,1449.12,1199643.7408,2022-07-26 23:59:59.999,1684928509.39957800,1175787.0,589360.89660000,827885085.88465100,0
2022-07-25,1597.7,1609.55000000,1435.58000000,1440.79,1418390.9809,2022-07-25 23:59:59.999,2151224738.81666100,1407648.0,690797.69360000,1048000398.97279300,0
2022-07-24,1548.66,1664.34000000,1545.67000000,1597.7,1009935.8997,2022-07-24 23:59:59.999,1616289077.62887500,1238522.0,511819.24610000,819430645.34264000,0
2022-07-23,1535.27,1596.51000000,1488.00000000,1548.67,851284.7339,2022-07-23 23:59:59.999,1310964570.18947800,950665.0,423093.99080000,651712229.25243900,0
2022-07-22,1575.45,1650.05000000,1516.11000000,1535.27,1170723.0873,2022-07-22 23:59:59.999,1865036182.28467000,1295899.0,590259.75730000,941037922.80644000,0
2022-07-21,1521.63,1605.98000000,1463.56000000,1575.45,1247327.4963,2022-07-21 23:59:59.999,1897833300.99776300,1282430.0,635917.62960000,968139590.42153100,0
2022-07-20,1542.33,1620.40000000,1484.23000000,1521.58,1351177.4247,2022-07-20 23:59:59.999,2109332407.42685600,1506300.0,672453.94770000,1050414631.78879800,0
2022-07-19,1581.03,1631.00000000,1493.11000000,1542.32,1846048.6816,2022-07-19 23:59:59.999,2856463586.86090900,1818358.0,918478.72300000,1421417593.98607100,0
2022-07-18,1338.65,1597.47000000,1336.07000000,1581.04,2029918.76521,2022-07-18 23:59:59.999,2980357374.79268500,1750043.0,1068091.40221000,1567562752.76841900,0
2022-07-17,1355.84,1387.00000000,1319.04000000,1338.65,1246202.8795,2022-07-17 23:59:59.999,1687064377.69842000,1163593.0,626408.87920000,848289552.86427000,0
